Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate,Engagement Score
5,11.051381236591851,0.230651936613825,Organic,3.890460070474997,3,1.0,84.34616746493442
4,3.429315699032408,0.3910013338541704,Social,8.478174486998954,0,1.0,86.74294695369005
4,1.621052045863385,0.3979861064942929,Organic,9.636169627400935,2,1.0,96.85930674874318
5,3.6292789551861424,0.180457684705222,Organic,2.071924676446509,3,1.0,57.41749361355828
5,4.235843279057931,0.2915408735093031,Paid,1.9606538296835625,5,1.0,33.6357109694946
3,4.541867820189699,0.4207400490026312,Social,3.438711547796116,2,1.0,24.529022298549563
5,1.9495580162309407,0.0349781570158815,Social,2.1192714722548773,1,1.0,302.95212918259847
4,1.6857397554121445,0.2523427595625629,Paid,3.4780157014833533,5,1.0,55.141610790220504
6,0.0332680331834028,0.120702770574107,Organic,5.285519080243383,1,1.0,262.74725392234996
7,7.833741754811087,0.2127268859236291,Paid,4.060115222739396,5,1.0,133.61232504592346
2,2.773784434424699,0.4857678223385693,Direct,2.9736527872816234,3,1.0,12.25310318853954
5,0.6812812938933654,0.4538905515767142,Referral,1.4990085570331235,0,1.0,16.522885670630323
5,7.562350901457057,0.2635519765790136,Social,9.68859191827762,0,1.0,183.81799195738444
6,7.392909562806381,0.2633359443463259,Paid,4.981015475004269,2,1.0,113.50036655140765
4,13.58023186909955,0.3205880939741078,Paid,5.802188906041352,3,1.0,72.4043155107933
6,6.215767159872134,0.2966410058170743,Paid,10.028903177808292,2,1.0,202.8592955689211
6,18.336679603402363,0.3376945510103158,Referral,2.984756677500051,0,1.0,53.04177090486497
1,0.8418659136590263,0.2493163814079028,Social,8.303624479819767,1,1.0,33.315571149913055
7,5.540223444247188,0.2566845470224227,Paid,8.79349224549781,3,1.0,239.815810020607
2,5.19529648769634,0.1729777360004424,Paid,2.88998002366816,2,1.0,33.424473914270315
11,0.7877602686116874,0.2516407259960402,Organic,11.69293806671197,5,1.0,511.1447466699633
4,0.3108778925904152,0.6443099889585625,Organic,4.164912574168854,4,1.0,25.86657615459823
